Column1;Column2
;Street Name
WB E 177TH ST @ BRON;33677
SB 150TH ST @ SUTTER;33670
63rd Rd;33663
New York Ave;33537
EB DITMARS BLVD @ 80;33474
W 124th St;33425
87th St;33411
EB ATLANTIC AVE @ NE;33397
MAIN ST;33355
SB Nostrand Avenue @;33327
62nd St;33278
W 3rd St;33278
Fort Hamilton Pkwy;33250
NB FATHER CAPODANNO;33243
NB ROGERS AVE @ PROS;33222
W 42nd St;33208
E 78th St;33180
Barclay St;33145
EB UNION TPKE @ KENT;33138
7th Ave S;33089
W 86th St;33054
N 4th St;33047
SB BOSTON RD @ ARNOW;33033
E Kingsbridge Rd;32970
E 77th St;32816
SB BLOOMINGDALE RD @;32816
EB LIBERTY AVE @ 160;32739
Carlton Ave;32725
E 97th St;32704
Halsey St;32697
WB VICTORY BLVD @ AL;32641
W 115th St;32613
28th St;32585
Laguardia Pl;32557
EB PARK AVE @ WAVERL;32529
W 87th St;32501
Avenue J;32494
39th St;32459
Varick St;32242
E 66th St;32221
Decatur St;32207
63rd St;32067
Spencer St;32018
71st St;32004
12th Ave;31920
WB JAMAICA AVE @ 192;31920
Herkimer St;31899
WB LIBERTY AVE @ GUY;31899
SB WEST END AVE @ W;31885
E 81st St;31815
10th St;31752
NB UTICA AVE @ CHURC;31738
SB FLATBUSH AVE EXT;31619
Skillman Ave;31619
Dyckman St;31577
NB UTOPIA PKWY @ 17T;31577
53rd St;31570
WB KINGS HIGHWAY @ E;31549
3RD AVE (S/B) @ E 13;31458
SB KELLY BLVD @ NOME;31416
Hart St;31346
Smith St;31290
Bay St;31276
Pine St;31178
Avenue N;31150
WB ROCKAWAY FWY @ BA;31087
W 112th St;30982
58th St;30954
EB E GUN HILL RD @ B;30842
E 204th St;30765
Hicks St;30765
NB REMSEN AVE @ BAY;30751
16th Ave;30590
NB TARGEE ST @ FINGE;30541
WB RICHMOND HILL RD;30520
Waverly Pl;30471
NB 111TH ST @ 91ST A;30450
WB W 230TH ST @ TIBB;30429
Hancock St;30422
E Burnside Ave;30331
SB OCEAN PKWY @ AVE;30275
SB 2ND AVE @ 53RD ST;30205
Forsyth St;30177
Knickerbocker Ave;30156
WB TYSENS LN @ ISORA;30114
Centre St;30086
Clay Ave;30058
E 20th St;30002
Hughes Ave;29932
SB OCEAN PKWY @ KING;29911
WB E 233RD ST @ KATO;29904
W 181st St;29890
NB 4TH AVE @ 13TH ST;29827
HAMILTON AVE (N/B) @;29778
SB 4TH AVE @ 28TH ST;29729
14th St;29701
66th St;29631
WB NORTHERN BLVD @ 1;29589
NB BOERUM PL @ SCHER;29519
Allerton Ave;29512
91st Ave;29498
NB BOSTON RD @ WHITE;29491
SB COLLEGE POINT BLV;29491
NB BROADWAY @ W 68TH;29470
NB FLATBUSH AVE @ AV;29470
W 74th St;29463
E 74th St;29449
WB W 96TH ST @ AMSTE;29421
EB JAMAICA AVE @ 193;29386
Driggs Ave;29379
EB ALLERTON AVE @ MI;29344
NB DECKER AVE @ HAGA;29204
Evergreen Ave;29197
65th St;29127
Division Ave;29029
69th St;29001
EB 86TH ST @ BAY 14T;28987
SB REMSEN AVE @ STIL;28924
Monroe St;28896
42nd Ave;28875
EB HEMPSTEAD AVE @ 2;28840
Classon Ave;28826
Surf Ave;28798
Vernon Blvd;28777
Brighton Beach Ave;28749
Walker St;28616
W 111th St;28609
Cypress Ave;28595
E 112th St;28595
Wadsworth Ave;28595
CLOVE RD (N/B) @ BAR;28581
NB PARK AVE @ E 37TH;28560
Victory Blvd;28560
WB EASTERN PKWY @ UN;28511
REMSEN AVE (N/B) @ W;28490
SB BROADWAY @ W 120T;28469
E 67th St;28448
Jay St;28448
W 180th St;28441
NB REMSEN AVE @ AVE;28399
Irving Pl;28280
E 105th St;28266
SB CADMAN PLAZA @ CL;28266
SB FLATBUSH AVE @ FL;28231
EB W FINGERBOARD RD;28217
E 68th St;28182
WB HILLSIDE AVE @ 23;28168
E 120th St;28147
67th St;28126
W 70th St;28112
W 76th St;28098
Bronx Park East;28035
91st St;28014
SB FLATBUSH AVE @ PL;28007
E 183rd St;27972
Lorimer St;27965
E 172nd St;27951
2nd St;27867
Quentin Rd;27804
Avenue C;27762
55th St;27755
EB SEAVIEW AVE @ E 1;27734
W 155th St;27713
Meeker Ave;27678
EB UNION TPKE @ 88TH;27664
E Fordham Rd;27615
Avenue P;27531
N 7th St;27524
E 117th St;27391
E 102nd St;27342
Bay Ridge Ave;27335
Humboldt St;27286
Woodside Ave;27286
